Brand Country,Not CAFV Eligible (%),CAFV Eligible (%)
Italy,0.0,100.0
Other,0.0,100.0
UK,27.27272727272727,72.72727272727273
Japan,38.49478452395794,61.50521547604205
USA,66.68166842158894,33.31833157841106
Germany,68.74178632270626,31.258213677293746
South Korea,69.46577224601957,30.534227753980442
Sweden,73.85924207269915,26.14075792730085
